Class;PrettyName;Variable;Node;Attribute;Type;Scalar;Stats;ValueToNA;Compression;Custom
bggCollection;ID;objectid;.;objectid;number;TRUE;FALSE;;;FALSE
bggCollection;Name;name;name;;text;TRUE;FALSE;;;FALSE
bggCollection;Type;type;.;subtype;text;TRUE;FALSE;;;FALSE
bggCollection;Year;yearpublished;yearpublished;;number;TRUE;FALSE;;;FALSE
bggCollection;Rating;rating;stats/rating;value;number;TRUE;TRUE;;;FALSE
bggCollection;TimesPlayed;numplays;numplays;;number;TRUE;FALSE;;;FALSE
bggCollection;Rank;rank;stats/rating/ranks/rank[@name = 'boardgame'];value;number;TRUE;TRUE;;;FALSE
bggCollection;AvgRating;average;stats/rating/average;value;number;TRUE;TRUE;;;FALSE
bggCollection;BGGRating;baverage;stats/rating/bayesaverage;value;number;TRUE;TRUE;0;;FALSE
bggCollection;RatingStdDev;stddev;stats/rating/stddev;value;number;TRUE;TRUE;;;FALSE
bggCollection;RatingVotes;usersrated;stats/rating/usersrated;value;number;TRUE;TRUE;;;FALSE
bggCollection;MinPlayers;minplayers;stats;minplayers;number;TRUE;TRUE;;;FALSE
bggCollection;MaxPlayers;maxplayers;stats;maxplayers;number;TRUE;TRUE;;;FALSE
bggCollection;Playingtime;playingtime;stats;playingtime;number;TRUE;TRUE;;;FALSE
bggCollection;MinPlaytime;minplaytime;stats;minplaytime;number;TRUE;TRUE;;;FALSE
bggCollection;MaxPlaytime;maxplaytime;stats;maxplaytime;number;TRUE;TRUE;;;FALSE
bggCollection;NumOwned;numowned;stats;numowned;number;TRUE;TRUE;;;FALSE
bggCollection;Owned;own;status;own;logical;TRUE;FALSE;;;FALSE
bggCollection;Preordered;preordered;status;preordered;logical;TRUE;FALSE;;;FALSE
bggCollection;PrevOwned;prevowned;status;prevowned;logical;TRUE;FALSE;;;FALSE
bggCollection;ForTrade;fortrade;status;fortrade;logical;TRUE;FALSE;;;FALSE
bggCollection;Want;want;status;want;logical;TRUE;FALSE;;;FALSE
bggCollection;WantToPlay;wanttoplay;status;wanttoplay;logical;TRUE;FALSE;;;FALSE
bggCollection;WantToBuy;wanttobuy;status;wanttobuy;logical;TRUE;FALSE;;;FALSE
bggCollection;Wishlist;wishlist;status;wishlist;logical;TRUE;FALSE;;;FALSE
bggCollection;WishlistPriority;wishlistpriority;status;wishlistpriority;number;TRUE;FALSE;;;FALSE
bggCollection;ImageURL;image;image;;text;TRUE;FALSE;;;FALSE
bggCollection;ThumbnailURL;thumbnail;thumbnail;;text;TRUE;FALSE;;;FALSE
